ENABLE,release_key,id,mst_outpost_enhancement_level_id,language,description
e,202509010,enhance_1_5_16_ja,enhance_1_5_16,ja,"ヒーローゲートHPが3,000アップします。"
e,202509010,enhance_1_5_17_ja,enhance_1_5_17,ja,"ヒーローゲートHPが3,000アップします。"
e,202509010,enhance_1_5_18_ja,enhance_1_5_18,ja,"ヒーローゲートHPが3,000アップします。"
e,202509010,enhance_1_5_19_ja,enhance_1_5_19,ja,"ヒーローゲートHPが3,000アップします。"
e,202509010,enhance_1_5_20_ja,enhance_1_5_20,ja,"ヒーローゲートHPが2,500アップします。"
e,202509010,enhance_1_6_1_ja,enhance_1_6_1,ja,
e,202509010,enhance_1_6_2_ja,enhance_1_6_2,ja,キャラの再召喚時間を0.1秒短縮します。
e,202509010,enhance_1_6_3_ja,enhance_1_6_3,ja,キャラの再召喚時間を0.2秒短縮します。
e,202509010,enhance_1_6_4_ja,enhance_1_6_4,ja,キャラの再召喚時間を0.3秒短縮します。
e,202509010,enhance_1_6_5_ja,enhance_1_6_5,ja,キャラの再召喚時間を0.4秒短縮します。
e,202509010,enhance_1_6_6_ja,enhance_1_6_6,ja,キャラの再召喚時間を0.5秒短縮します。
e,202509010,enhance_1_6_7_ja,enhance_1_6_7,ja,キャラの再召喚時間を0.6秒短縮します。
e,202509010,enhance_1_6_8_ja,enhance_1_6_8,ja,キャラの再召喚時間を0.7秒短縮します。
e,202509010,enhance_1_6_9_ja,enhance_1_6_9,ja,キャラの再召喚時間を0.8秒短縮します。
e,202509010,enhance_1_6_10_ja,enhance_1_6_10,ja,キャラの再召喚時間を0.9秒短縮します。
e,202509010,enhance_1_6_11_ja,enhance_1_6_11,ja,キャラの再召喚時間を1.0秒短縮します。
e,202509010,enhance_1_6_12_ja,enhance_1_6_12,ja,キャラの再召喚時間を1.1秒短縮します。
e,202509010,enhance_1_6_13_ja,enhance_1_6_13,ja,キャラの再召喚時間を1.2秒短縮します。
e,202509010,enhance_1_6_14_ja,enhance_1_6_14,ja,キャラの再召喚時間を1.3秒短縮します。
e,202509010,enhance_1_6_15_ja,enhance_1_6_15,ja,キャラの再召喚時間を1.4秒短縮します。
e,202509010,enhance_1_6_16_ja,enhance_1_6_16,ja,キャラの再召喚時間を1.5秒短縮します。
e,202509010,enhance_1_6_17_ja,enhance_1_6_17,ja,キャラの再召喚時間を1.6秒短縮します。
e,202509010,enhance_1_6_18_ja,enhance_1_6_18,ja,キャラの再召喚時間を1.7秒短縮します。
e,202509010,enhance_1_6_19_ja,enhance_1_6_19,ja,キャラの再召喚時間を1.8秒短縮します。
e,202509010,enhance_1_6_20_ja,enhance_1_6_20,ja,キャラの再召喚時間を2.0秒短縮します。
e,202509010,enhance_1_7_1_ja,enhance_1_7_1,ja,
e,202509010,enhance_1_7_2_ja,enhance_1_7_2,ja,敵を倒した際に得られるリーダーPが1アップします。
e,202509010,enhance_1_7_3_ja,enhance_1_7_3,ja,敵を倒した際に得られるリーダーPが2アップします。
e,202509010,enhance_1_7_4_ja,enhance_1_7_4,ja,敵を倒した際に得られるリーダーPが3アップします。
e,202509010,enhance_1_7_5_ja,enhance_1_7_5,ja,敵を倒した際に得られるリーダーPが4アップします。
e,202509010,enhance_1_7_6_ja,enhance_1_7_6,ja,敵を倒した際に得られるリーダーPが5アップします。
e,202509010,enhance_1_7_7_ja,enhance_1_7_7,ja,敵を倒した際に得られるリーダーPが6アップします。
e,202509010,enhance_1_7_8_ja,enhance_1_7_8,ja,敵を倒した際に得られるリーダーPが7アップします。
e,202509010,enhance_1_7_9_ja,enhance_1_7_9,ja,敵を倒した際に得られるリーダーPが8アップします。
e,202509010,enhance_1_7_10_ja,enhance_1_7_10,ja,敵を倒した際に得られるリーダーPが9アップします。
e,202509010,enhance_1_7_11_ja,enhance_1_7_11,ja,敵を倒した際に得られるリーダーPが10アップします。
e,202509010,enhance_1_7_12_ja,enhance_1_7_12,ja,敵を倒した際に得られるリーダーPが12アップします。
e,202509010,enhance_1_7_13_ja,enhance_1_7_13,ja,敵を倒した際に得られるリーダーPが14アップします。
e,202509010,enhance_1_7_14_ja,enhance_1_7_14,ja,敵を倒した際に得られるリーダーPが16アップします。
e,202509010,enhance_1_7_15_ja,enhance_1_7_15,ja,敵を倒した際に得られるリーダーPが20アップします。
e,202509010,enhance_1_7_16_ja,enhance_1_7_16,ja,敵を倒した際に得られるリーダーPが22アップします。
e,202509010,enhance_1_7_17_ja,enhance_1_7_17,ja,敵を倒した際に得られるリーダーPが24アップします。
e,202509010,enhance_1_7_18_ja,enhance_1_7_18,ja,敵を倒した際に得られるリーダーPが26アップします。
e,202509010,enhance_1_7_19_ja,enhance_1_7_19,ja,敵を倒した際に得られるリーダーPが28アップします。
e,202509010,enhance_1_7_20_ja,enhance_1_7_20,ja,敵を倒した際に得られるリーダーPが30アップします。
e,202509010,enhance_1_8_1_ja,enhance_1_8_1,ja,
e,202509010,enhance_1_8_2_ja,enhance_1_8_2,ja,"JUMBLE RUSHゲージが貯まる速度が29.5秒になります。"
e,202509010,enhance_1_8_3_ja,enhance_1_8_3,ja,"JUMBLE RUSHゲージが貯まる速度が29秒になります。"
e,202509010,enhance_1_8_4_ja,enhance_1_8_4,ja,"JUMBLE RUSHゲージが貯まる速度が28.5秒になります。"
e,202509010,enhance_1_8_5_ja,enhance_1_8_5,ja,"JUMBLE RUSHゲージが貯まる速度が28秒になります。"
e,202509010,enhance_1_8_6_ja,enhance_1_8_6,ja,"JUMBLE RUSHゲージが貯まる速度が27.5秒になります。"
e,202509010,enhance_1_8_7_ja,enhance_1_8_7,ja,"JUMBLE RUSHゲージが貯まる速度が27秒になります。"
e,202509010,enhance_1_8_8_ja,enhance_1_8_8,ja,"JUMBLE RUSHゲージが貯まる速度が26.5秒になります。"
e,202509010,enhance_1_8_9_ja,enhance_1_8_9,ja,"JUMBLE RUSHゲージが貯まる速度が26秒になります。"
e,202509010,enhance_1_8_10_ja,enhance_1_8_10,ja,"JUMBLE RUSHゲージが貯まる速度が25.5秒になります。"
e,202509010,enhance_1_8_11_ja,enhance_1_8_11,ja,"JUMBLE RUSHゲージが貯まる速度が25秒になります。"
e,202509010,enhance_1_8_12_ja,enhance_1_8_12,ja,"JUMBLE RUSHゲージが貯まる速度が24.5秒になります。"
e,202509010,enhance_1_8_13_ja,enhance_1_8_13,ja,"JUMBLE RUSHゲージが貯まる速度が24秒になります。"
e,202509010,enhance_1_8_14_ja,enhance_1_8_14,ja,"JUMBLE RUSHゲージが貯まる速度が23.5秒になります。"
e,202509010,enhance_1_8_15_ja,enhance_1_8_15,ja,"JUMBLE RUSHゲージが貯まる速度が23秒になります。"
e,202509010,enhance_1_8_16_ja,enhance_1_8_16,ja,"JUMBLE RUSHゲージが貯まる速度が22.5秒になります。"
e,202509010,enhance_1_8_17_ja,enhance_1_8_17,ja,"JUMBLE RUSHゲージが貯まる速度が22秒になります。"
e,202509010,enhance_1_8_18_ja,enhance_1_8_18,ja,"JUMBLE RUSHゲージが貯まる速度が21.5秒になります。"
e,202509010,enhance_1_8_19_ja,enhance_1_8_19,ja,"JUMBLE RUSHゲージが貯まる速度が21秒になります。"
e,202509010,enhance_1_8_20_ja,enhance_1_8_20,ja,"JUMBLE RUSHゲージの貯まる速度が20秒になります。"
