ENABLE,id,mst_artwork_effect_id,condition_type,condition_value,release_key
e,artwork_event_yuw_0002_02,artwork_event_yuw_0002,TargetCount,1,202603020
e,artwork_event_sur_0001_01,artwork_event_sur_0001,Series,sur,202603020
e,artwork_event_sur_0001_02,artwork_event_sur_0001,TargetCount,10,202603020
e,artwork_event_sur_0002_01,artwork_event_sur_0002,Series,sur,202603020
e,artwork_event_sur_0002_02,artwork_event_sur_0002,TargetCount,10,202603020
e,artwork_event_osh_0001_01,artwork_event_osh_0001,All,,202603020
e,artwork_event_osh_0001_02,artwork_event_osh_0001,TargetCount,1,202603020
e,artwork_event_osh_0002_01,artwork_event_osh_0002,Series,osh,202603020
e,artwork_event_osh_0002_02,artwork_event_osh_0002,TargetCount,10,202603020
e,artwork_event_jig_0001_01,artwork_event_jig_0001,Series,jig,202603020
e,artwork_event_jig_0001_02,artwork_event_jig_0001,TargetCount,10,202603020
e,artwork_event_jig_0002_01,artwork_event_jig_0002,Series,jig,202603020
e,artwork_event_jig_0002_02,artwork_event_jig_0002,TargetCount,10,202603020
e,artwork_event_you_0001_01,artwork_event_you_0001,Series,you,202603020
e,artwork_event_you_0001_02,artwork_event_you_0001,TargetCount,10,202603020
e,artwork_event_you_0002_01,artwork_event_you_0002,Series,you,202603020
e,artwork_event_you_0002_02,artwork_event_you_0002,TargetCount,10,202603020
e,artwork_event_kim_0001_01,artwork_event_kim_0001,All,,202603020
e,artwork_event_kim_0001_02,artwork_event_kim_0001,TargetCount,1,202603020
e,artwork_event_kim_0002_01,artwork_event_kim_0002,Series,kim,202603020
e,artwork_event_kim_0002_02,artwork_event_kim_0002,TargetCount,10,202603020
e,artwork_event_hut_0001_01,artwork_event_hut_0001,Series,hut,202603020
e,artwork_event_hut_0001_02,artwork_event_hut_0001,TargetCount,10,202603020
e,artwork_event_hut_0002_01,artwork_event_hut_0002,All,,202603020
e,artwork_event_hut_0002_02,artwork_event_hut_0002,TargetCount,1,202603020
e,artwork_event_ara_0001_01,artwork_event_ara_0001,All,,202603020
e,artwork_event_ara_0001_02,artwork_event_ara_0001,TargetCount,1,202603020
e,artwork_event_hyp_0001_01,artwork_event_hyp_0001,All,,202603020
e,artwork_event_hyp_0001_02,artwork_event_hyp_0001,TargetCount,1,202603020
e,artwork_event_gam_0001_01,artwork_event_gam_0001,All,,202603020
e,artwork_event_gam_0001_02,artwork_event_gam_0001,TargetCount,1,202603020
e,artwork_event_osh_0003_01,artwork_event_osh_0003,Series,osh,202603025
e,artwork_event_osh_0003_02,artwork_event_osh_0003,TargetCount,10,202603025
e,artwork_event_gom_0001_01,artwork_event_gom_0001,Series,gom,202603025
e,artwork_event_gom_0001_02,artwork_event_gom_0001,TargetCount,10,202603025
e,artwork_event_sur_0003_01,artwork_event_sur_0003,Series,sur,202603020
e,artwork_event_sur_0003_02,artwork_event_sur_0003,TargetCount,10,202603020
e,artwork_event_kai_0003_01,artwork_event_kai_0003,Series,kai,202603025
e,artwork_event_kai_0003_02,artwork_event_kai_0003,TargetCount,10,202603025
e,artwork_chara_spy_00001_01,artwork_chara_spy_00001,All,,202603020
e,artwork_chara_spy_00001_02,artwork_chara_spy_00001,TargetCount,9,202603020
e,artwork_chara_spy_00101_01,artwork_chara_spy_00101,Unit,chara_spy_00101,202603020
e,artwork_chara_spy_00101_02,artwork_chara_spy_00101,TargetCount,1,202603020
e,artwork_chara_spy_00201_01,artwork_chara_spy_00201,Unit,chara_spy_00201,202603020
e,artwork_chara_spy_00201_02,artwork_chara_spy_00201,TargetCount,1,202603020
e,artwork_chara_spy_00501_01,artwork_chara_spy_00501,Unit,chara_spy_00501,202603020
e,artwork_chara_spy_00501_02,artwork_chara_spy_00501,TargetCount,1,202603020
e,artwork_chara_dan_00002_01,artwork_chara_dan_00002,Unit,chara_dan_00002,202603020
e,artwork_chara_dan_00002_02,artwork_chara_dan_00002,TargetCount,1,202603020
e,artwork_chara_dan_00202_01,artwork_chara_dan_00202,Unit,chara_dan_00202,202603020
e,artwork_chara_dan_00202_02,artwork_chara_dan_00202,TargetCount,1,202603020
e,artwork_chara_gom_00001_01,artwork_chara_gom_00001,Unit,chara_gom_00001,202603020
e,artwork_chara_gom_00001_02,artwork_chara_gom_00001,TargetCount,1,202603020
e,artwork_chara_chi_00002_01,artwork_chara_chi_00002,Unit,chara_chi_00002,202603020
e,artwork_chara_chi_00002_02,artwork_chara_chi_00002,TargetCount,1,202603020
e,artwork_chara_kai_00002_01,artwork_chara_kai_00002,Unit,chara_kai_00002,202603020
e,artwork_chara_kai_00002_02,artwork_chara_kai_00002,TargetCount,1,202603020
e,artwork_chara_kai_00102_01,artwork_chara_kai_00102,Unit,chara_kai_00102,202603020
e,artwork_chara_kai_00102_02,artwork_chara_kai_00102,TargetCount,1,202603020
e,artwork_chara_kai_00201_01,artwork_chara_kai_00201,Unit,chara_kai_00201,202603020
e,artwork_chara_kai_00201_02,artwork_chara_kai_00201,TargetCount,1,202603020
e,artwork_chara_kai_00701_01,artwork_chara_kai_00701,Unit,chara_kai_00701,202603025
e,artwork_chara_kai_00701_02,artwork_chara_kai_00701,TargetCount,1,202603025
e,artwork_chara_yuw_00001_01,artwork_chara_yuw_00001,Unit,chara_yuw_00001,202603020
e,artwork_chara_yuw_00001_02,artwork_chara_yuw_00001,TargetCount,1,202603020
e,artwork_chara_yuw_00101_01,artwork_chara_yuw_00101,Unit,chara_yuw_00101,202603020
e,artwork_chara_yuw_00101_02,artwork_chara_yuw_00101,TargetCount,1,202603020
e,artwork_chara_yuw_00102_01,artwork_chara_yuw_00102,Unit,chara_yuw_00102,202603020
e,artwork_chara_yuw_00102_02,artwork_chara_yuw_00102,TargetCount,1,202603020
e,artwork_chara_yuw_00301_01,artwork_chara_yuw_00301,Unit,chara_yuw_00301,202603020
e,artwork_chara_yuw_00301_02,artwork_chara_yuw_00301,TargetCount,1,202603020
e,artwork_chara_yuw_00401_01,artwork_chara_yuw_00401,Unit,chara_yuw_00401,202603020
e,artwork_chara_yuw_00401_02,artwork_chara_yuw_00401,TargetCount,1,202603020
e,artwork_chara_sur_00101_01,artwork_chara_sur_00101,Unit,chara_sur_00101,202603020
e,artwork_chara_sur_00101_02,artwork_chara_sur_00101,TargetCount,1,202603020
e,artwork_chara_sur_00501_01,artwork_chara_sur_00501,Unit,chara_sur_00501,202603020
e,artwork_chara_sur_00501_02,artwork_chara_sur_00501,TargetCount,1,202603020
e,artwork_chara_sur_00901_01,artwork_chara_sur_00901,Unit,chara_sur_00901,202603020
e,artwork_chara_sur_00901_02,artwork_chara_sur_00901,TargetCount,1,202603020
e,artwork_chara_tak_00001_01,artwork_chara_tak_00001,Unit,chara_tak_00001,202603020
e,artwork_chara_tak_00001_02,artwork_chara_tak_00001,TargetCount,1,202603020
e,artwork_chara_jig_00001_01,artwork_chara_jig_00001,Unit,chara_jig_00001,202603020
e,artwork_chara_jig_00001_02,artwork_chara_jig_00001,TargetCount,1,202603020
e,artwork_chara_jig_00401_01,artwork_chara_jig_00401,Unit,chara_jig_00401,202603020
e,artwork_chara_jig_00401_02,artwork_chara_jig_00401,TargetCount,1,202603020
e,artwork_chara_mag_00001_01,artwork_chara_mag_00001,Unit,chara_mag_00001,202603020
e,artwork_chara_mag_00001_02,artwork_chara_mag_00001,TargetCount,1,202603020
e,artwork_chara_mag_00201_01,artwork_chara_mag_00201,Unit,chara_mag_00201,202603020
e,artwork_chara_mag_00201_02,artwork_chara_mag_00201,TargetCount,1,202603020
e,artwork_chara_sum_00101_01,artwork_chara_sum_00101,Unit,chara_sum_00101,202603020
e,artwork_chara_sum_00101_02,artwork_chara_sum_00101,TargetCount,1,202603020
e,artwork_chara_osh_00001_01,artwork_chara_osh_00001,Unit,chara_osh_00001,202603020
e,artwork_chara_osh_00001_02,artwork_chara_osh_00001,TargetCount,1,202603020
e,artwork_chara_osh_00101_01,artwork_chara_osh_00101,All,,202603020
e,artwork_chara_osh_00101_02,artwork_chara_osh_00101,TargetCount,9,202603020
e,artwork_chara_you_00001_01,artwork_chara_you_00001,Unit,chara_you_00001,202603020
e,artwork_chara_you_00001_02,artwork_chara_you_00001,TargetCount,1,202603020
e,artwork_chara_kim_00001_01,artwork_chara_kim_00001,Unit,chara_kim_00001,202603020
e,artwork_chara_kim_00001_02,artwork_chara_kim_00001,TargetCount,1,202603020
e,artwork_chara_hut_00001_01,artwork_chara_hut_00001,Unit,chara_hut_00001,202603020
e,artwork_chara_hut_00001_02,artwork_chara_hut_00001,TargetCount,1,202603020
e,artwork_chara_gom_00401_01,artwork_chara_gom_00401,All,,202603025
e,artwork_chara_gom_00401_02,artwork_chara_gom_00401,TargetCount,9,202603025
