ENABLE,id,release_key,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,destination_scene
e,achievement_31,1,OutpostEnhanceCount,,1,__NULL__,,0,,achievement_reward_31,31,OutPostEnhance
e,achievement_32,1,OutpostEnhanceCount,,5,__NULL__,,0,,achievement_reward_32,32,OutPostEnhance
e,achievement_33,1,OutpostEnhanceCount,,10,__NULL__,,0,,achievement_reward_33,33,OutPostEnhance
e,achievement_34,1,OutpostEnhanceCount,,15,__NULL__,,0,,achievement_reward_34,34,OutPostEnhance
e,achievement_35,1,OutpostEnhanceCount,,20,__NULL__,,0,,achievement_reward_35,35,OutPostEnhance
e,achievement_36,1,OutpostEnhanceCount,,30,__NULL__,,0,,achievement_reward_36,36,OutPostEnhance
e,achievement_37,1,OutpostEnhanceCount,,40,__NULL__,,0,,achievement_reward_37,37,OutPostEnhance
e,achievement_38,1,OutpostEnhanceCount,,50,__NULL__,,0,,achievement_reward_38,38,OutPostEnhance
e,achievement_39,1,OutpostEnhanceCount,,60,__NULL__,,0,,achievement_reward_39,39,OutPostEnhance
e,achievement_40,1,SpecificUnitStageClearCount,chara_dan_00001.2,1,__NULL__,,0,,achievement_reward_40,40,StageSelect
e,achievement_41,1,SpecificUnitStageClearCount,chara_gom_00001.4,1,__NULL__,,0,,achievement_reward_41,41,StageSelect
e,achievement_42,1,SpecificUnitStageClearCount,chara_jig_00101.6,1,__NULL__,,0,,achievement_reward_42,42,StageSelect
e,achievement_43,1,SpecificUnitStageClearCount,chara_sur_00001.8,1,__NULL__,,0,,achievement_reward_43,43,StageSelect
e,achievement_44,1,SpecificSeriesUnitAcquiredCount,2,1,__NULL__,,0,,achievement_reward_44,44,Gacha
e,achievement_45,1,SpecificSeriesUnitAcquiredCount,2,2,__NULL__,,0,,achievement_reward_45,45,Gacha
e,achievement_46,1,SpecificSeriesUnitAcquiredCount,2,3,__NULL__,,0,,achievement_reward_46,46,Gacha
e,achievement_47,1,UnitAcquiredCount,,10,__NULL__,,0,,achievement_reward_47,47,Gacha
e,achievement_48,1,UnitAcquiredCount,,15,__NULL__,,0,,achievement_reward_48,48,Gacha
e,achievement_49,1,SpecificUnitAcquiredCount,chara_gom_00101,1,__NULL__,,0,,achievement_reward_49,49,Gacha
e,achievement_50,1,SpecificUnitAcquiredCount,chara_glo_00102,1,__NULL__,,0,,achievement_reward_50,50,Gacha
e,achievement_51,1,SpecificSeriesEnemyDiscoveryCount,1,1,__NULL__,,0,,achievement_reward_51,51,Gacha
e,achievement_52,1,SpecificSeriesEnemyDiscoveryCount,1,3,__NULL__,,0,,achievement_reward_52,52,Gacha
e,achievement_53,1,EnemyDiscoveryCount,,5,__NULL__,,0,,achievement_reward_53,53,Gacha
e,achievement_54,1,EnemyDiscoveryCount,,10,__NULL__,,0,,achievement_reward_54,54,Gacha
e,achievement_55,1,SpecificEnemyDiscoveryCount,dan002,1,__NULL__,,0,,achievement_reward_55,55,Gacha
e,achievement_56,1,SpecificEnemyDiscoveryCount,sotai06,1,__NULL__,,0,,achievement_reward_56,56,Gacha
e,achievement_57,1,SpecificSeriesEmblemAcquiredCount,3,1,__NULL__,,0,,achievement_reward_57,57,Gacha
e,achievement_58,1,SpecificSeriesEmblemAcquiredCount,3,2,__NULL__,,0,,achievement_reward_58,58,Gacha
e,achievement_59,1,EmblemAcquiredCount,,5,__NULL__,,0,,achievement_reward_59,59,Gacha
e,achievement_60,1,EmblemAcquiredCount,,10,__NULL__,,0,,achievement_reward_60,60,Gacha
e,achievement_61,1,SpecificEmblemAcquiredCount,emblem_event_jig_00001,1,__NULL__,,0,,achievement_reward_61,61,Gacha
e,achievement_62,1,SpecificEmblemAcquiredCount,emblem_event_gom_00001,1,__NULL__,,0,,achievement_reward_62,62,Gacha
e,achievement_63,1,SpecificSeriesArtworkCompletedCount,1,1,__NULL__,,0,,achievement_reward_63,63,Gacha
e,achievement_64,1,SpecificSeriesArtworkCompletedCount,1,2,__NULL__,,0,,achievement_reward_64,64,Gacha
e,achievement_65,1,ArtworkCompletedCount,,2,__NULL__,,0,,achievement_reward_65,65,Gacha
e,achievement_66,1,ArtworkCompletedCount,,3,__NULL__,,0,,achievement_reward_66,66,Gacha
e,achievement_67,1,SpecificArtworkCompletedCount,artwork_dan_0001,1,__NULL__,,0,,achievement_reward_67,67,Gacha
e,achievement_68,1,SpecificArtworkCompletedCount,artwork_dan_0002,1,__NULL__,,0,,achievement_reward_68,68,Gacha
e,achievement_69,1,SpecificStageClearCount,1,1,__NULL__,,0,,mission_reward_limited_term_4,9,StageSelect
e,achievement_70,1,FollowCompleted,https://www.google.co.jp/,1,__NULL__,,0,,achievement_reward_68,70,Web
e,achievement_Test_01,1,StageClearCount,,5,__NULL__,,0,,achievement_reward_8,100,StageSelect
e,achievement_Test_02,1,StageClearCount,,10,__NULL__,,0,,achievement_reward_9,101,StageSelect
e,achievement_Test_03,1,CoinCollect,,5000,__NULL__,,0,,achievement_reward_10,102,Home
