ENABLE,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,override_drop_battle_point,defeated_score,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
e,develop_advent_battle,develop_advent_battle,group3,sequence_6,,ElapsedTime,3,SummonEnemy,en_phantom_dan_00001,,100,1000,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_005,develop_005,,1,,ElapsedTime,100,SummonEnemy,enemy_mar_00001_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_005,develop_005,,2,,FriendUnitDead,1,SummonEnemy,enemy_mar_00001_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_005,develop_005,,3,,FriendUnitDead,2,SummonEnemy,enemy_mar_00001_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,develop_006,develop_006,,1,,InitialSummon,1,SummonEnemy,enemy_aya_00001_Normal_Colorless,,1,0,None,2.6,ElapsedTime,15000,None,,None,,,,,Default,Normal,,0,100,1,1,,None,,1
e,develop_006,develop_006,,2,,ElapsedTime,1500,SummonEnemy,enemy_aya_00001_Normal_Colorless,,2,3000,None,,None,,None,,None,,,,,Default,Normal,,0,10,1,1,,None,,1
e,01_dan_normal_1,01_dan_normal_1,,1,,ElapsedTime,650,SummonEnemy,e_spy_00101_general_n_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,,1,1,1,1,,None,,1
e,01_dan_normal_2,01_dan_normal_2,,1,,DarknessKomaCleared,2,SummonEnemy,en_phantom_dan_00001,,1,0,None,1.5,ElapsedTime,50,None,,None,,,,,Default,Normal,,0,1.5,1.1,1,,None,,1
e,01_dan_normal_2,01_dan_normal_2,,2,,DarknessKomaCleared,2,SummonEnemy,en_phantom_dan_00001,,1,0,None,1.7,ElapsedTime,50,None,,None,,,,,Default,Normal,,0,1.5,1.1,1,,None,,1
e,01_dan_normal_2,01_dan_normal_2,,3,,DarknessKomaCleared,2,SummonEnemy,en_phantom_dan_00001,,1,0,None,1.9,ElapsedTime,50,None,,None,,,,,Default,Normal,,0,1.5,1.1,1,,None,,1
e,01_jig_normal_1,01_jig_normal_1,,1,,ElapsedTime,250,SummonEnemy,cb_phantom_jig_00101,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,3,1,1,,None,,1
e,01_jig_normal_1,01_jig_normal_1,,1,,OutpostHpPercentage,30,SummonEnemy,cb_phantom_jig_00101,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,3,1,1,,None,,1
e,01_jig_normal_2,01_jig_normal_2,,1,,ElapsedTime,5,SummonEnemy,en_phantom_jig_00401,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_jig_normal_2,01_jig_normal_2,,2,,OutpostDamage,35,SummonEnemy,en_phantom_jig_00401,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_jig_normal_2,01_jig_normal_2,,3,,OutpostDamage,35,SummonEnemy,eb_phantom_jig_00201,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,2,1,1,,None,,1
e,01_sur_normal_1,01_sur_normal_1,,sequence_1,,ElapsedTime,3000,SummonEnemy,a2e_0701,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,1,1,1,,None,,1
e,01_sur_normal_1,01_sur_normal_1,,sequence_2,,ElapsedTime,250,SummonEnemy,a2e_0910,,1,1250,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_sur_normal_1,01_sur_normal_1,,sequence_3,,ElapsedTime,1250,SummonEnemy,a2e_0910,,2,100,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_sur_normal_1,01_sur_normal_1,,sequence_4,,ElapsedTime,2500,SummonEnemy,a2e_0910,,2,100,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_sur_normal_1,01_sur_normal_1,,sequence_5,,ElapsedTime,3750,SummonEnemy,a2e_0910,,3,100,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_sur_normal_1,01_sur_normal_1,,sequence_6,,ElapsedTime,5000,SummonEnemy,a2e_0910,,3,100,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_sur_normal_1,01_sur_normal_1,,sequence_7,,ElapsedTime,6250,SummonEnemy,a2e_0910,,3,100,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_sur_normal_2,01_sur_normal_2,,sequence_1,,ElapsedTime,250,SummonEnemy,a2e_0101,,5,3000,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_sur_normal_2,01_sur_normal_2,,sequence_2,,OutpostDamage,45,SummonEnemy,a2e_1011,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,01_sur_normal_2,01_sur_normal_2,,sequence_3,,OutpostDamage,45,SummonEnemy,a2e_0701,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,1,1,1,,None,,1
e,02_dan_normal_1,02_dan_normal_1,,sequence_1,,ElapsedTime,100,SummonEnemy,a2e_0201,,40,1100,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_dan_normal_1,02_dan_normal_1,,sequence_2,,ElapsedTime,4000,SummonEnemy,a2e_0010,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,1,1,1,,None,,1
e,02_dan_normal_2,02_dan_normal_2,,sequence_1,,ElapsedTime,0,SummonEnemy,a2e_0202,,5,50,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_dan_normal_2,02_dan_normal_2,,sequence_2,,ElapsedTime,1700,SummonEnemy,a2e_0202,,5,50,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_dan_normal_2,02_dan_normal_2,,sequence_3,,ElapsedTime,4200,SummonEnemy,a2e_0202,,7,50,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_dan_normal_2,02_dan_normal_2,,sequence_4,,ElapsedTime,6000,SummonEnemy,a2e_0202,,-1,280,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_dan_normal_2,02_dan_normal_2,,sequence_5,,ElapsedTime,2250,SummonEnemy,a2e_9998,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_01,gom_normal_01,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00501_colorless,,2,2500,None,,None,,None,,None,,,,,Default,Normal,,0,3,1,1,,None,,1
e,gom_normal_01,gom_normal_01,,2,,ElapsedTime,1250,SummonEnemy,enemy_gom_00502_colorless,,2,2000,None,,None,,None,,None,,,,,Default,Normal,,0,2,1,1,,None,,1
e,gom_normal_01,gom_normal_01,,3,,ElapsedTime,4000,SummonEnemy,enemy_gom_00502_colorless,,99,2000,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_02,gom_normal_02,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00402_colorless,,5,1750,None,,None,,None,,None,,,,,Default,Normal,,0,3,1,1,,None,,1
e,gom_normal_02,gom_normal_02,,2,,ElapsedTime,1000,SummonEnemy,enemy_gom_00401_colorless,,3,2000,None,,None,,None,,None,,,,,Default,Normal,,0,2,1,1,,None,,1
e,02_jig_normal_1,02_jig_normal_1,,sequence_1,,ElapsedTime,0,SummonEnemy,a2e_0904,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_jig_normal_1,02_jig_normal_1,,sequence_2,,ElapsedTime,5000,SummonEnemy,a2e_0905,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,1,1,1,,None,,1
e,02_jig_normal_1,02_jig_normal_1,,sequence_3,,ElapsedTime,12000,SummonEnemy,a2e_9999,,3,25,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_jig_normal_2,02_jig_normal_2,,sequence_1,,ElapsedTime,250,SummonEnemy,a2e_1001,,2,25,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_jig_normal_2,02_jig_normal_2,,sequence_2,,ElapsedTime,1000,SummonEnemy,a2e_0202,,5,50,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_jig_normal_2,02_jig_normal_2,,sequence_3,,ElapsedTime,3000,SummonEnemy,a2e_0002,,5,50,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_jig_normal_2,02_jig_normal_2,,sequence_4,,ElapsedTime,4000,SummonEnemy,a2e_0802,,2,1500,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_jig_normal_2,02_jig_normal_2,,sequence_5,,ElapsedTime,2000,SummonEnemy,a2e_0904,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,02_jig_normal_2,02_jig_normal_2,,sequence_6,,ElapsedTime,0,SummonEnemy,a2e_9997,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,1,1,1,,None,,1
e,02_jig_normal_2,02_jig_normal_2,,sequence_7,,ElapsedTime,3000,SummonEnemy,a2e_1012,,3,6000,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_01,gom_normal_01,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00501_colorless,,2,2500,None,,None,,None,,None,,,,,Default,Normal,,0,3,1,1,,None,,1
e,gom_normal_01,gom_normal_01,,2,,ElapsedTime,1250,SummonEnemy,enemy_gom_00502_colorless,,2,2000,None,,None,,None,,None,,,,,Default,Normal,,0,2,1,1,,None,,1
e,gom_normal_01,gom_normal_01,,3,,ElapsedTime,4000,SummonEnemy,enemy_gom_00502_colorless,,99,2000,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_02,gom_normal_02,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00402_colorless,,5,1750,None,,None,,None,,None,,,,,Default,Normal,,0,3,1,1,,None,,1
e,gom_normal_02,gom_normal_02,,2,,ElapsedTime,1000,SummonEnemy,enemy_gom_00401_colorless,,3,2000,None,,None,,None,,None,,,,,Default,Normal,,0,2,1,1,,None,,1
e,gom_normal_03,gom_normal_03,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00301_colorless,,15,1500,None,,None,,None,,None,,,,,Default,Normal,,0,2,2,1,,None,,1
e,gom_normal_04,gom_normal_04,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00601_colorless,,3,2000,None,,None,,None,,None,,,,,Default,Normal,,0,2,1,1,,None,,1
e,gom_normal_04,gom_normal_04,,2,,ElapsedTime,1000,SummonEnemy,enemy_gom_00611_colorless,,3,2000,None,,None,,None,,None,,,,,Default,Normal,,0,2,1,1,,None,,1
e,gom_normal_04,gom_normal_04,,3,,ElapsedTime,1500,SummonEnemy,enemy_gom_00621_colorless,,3,2000,None,,None,,None,,None,,,,,Default,Normal,,0,2,0.5,1,,None,,1
e,gom_normal_04,gom_normal_04,,4,,ElapsedTime,2500,SummonEnemy,enemy_gom_00631_colorless,,3,2000,None,,None,,None,,None,,,,,Default,Normal,,0,2,0.5,1,,None,,1
e,gom_normal_05,gom_normal_05,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00701_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,3,1,1,,None,,1
e,gom_normal_05,gom_normal_05,,2,,ElapsedTime,1000,SummonEnemy,enemy_gom_00801_colorless,,2,1000,None,,None,,None,,None,,,,,Default,Normal,,0,2,1.5,1,,None,,1
e,gom_normal_05,gom_normal_05,,3,,ElapsedTime,1750,SummonEnemy,enemy_gom_00901_colorless,,2,1500,None,,None,,None,,None,,,,,Default,Normal,,0,2,1,1,,None,,1
e,gom_normal_06,gom_normal_06,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00301_colorless,,1,,None,,None,,None,,None,,,,,Default,Normal,,0,2,1,1,,None,,1
e,gom_normal_06,gom_normal_06,,2,,ElapsedTime,1250,SummonEnemy,enemy_gom_00201_colorless,,1,,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_06,gom_normal_06,,1,,ElapsedTime,1500,SummonEnemy,enemy_gom_00001_boss_colorless,,1,,None,,None,,None,,None,,,,1,Default,Normal,,0,6,1,1,,None,,1
e,gom_normal_06,gom_normal_06,,1,,ElapsedTime,2500,SummonEnemy,enemy_gom_00501_colorless,,2,2500,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_06,gom_normal_06,,1,,ElapsedTime,2750,SummonEnemy,enemy_gom_00502_colorless,,2,3500,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_06,gom_normal_06,,1,,ElapsedTime,3750,SummonEnemy,enemy_gom_00601_colorless,,2,2500,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_06,gom_normal_06,,1,,ElapsedTime,4000,SummonEnemy,enemy_gom_00611_colorless,,2,4000,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_06,gom_normal_06,,1,,ElapsedTime,4250,SummonEnemy,enemy_gom_00621_colorless,,2,4250,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_normal_06,gom_normal_06,,1,,ElapsedTime,4500,SummonEnemy,enemy_gom_00631_colorless,,2,3000,None,,None,,None,,None,,,,,Default,Normal,,0,1,1,1,,None,,1
e,gom_hard_01,gom_hard_01,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00501_colorless,,4,2500,None,,None,,None,,None,,,,,Default,Normal,150,0,6,2,1,,None,,1
e,gom_hard_01,gom_hard_01,,2,,ElapsedTime,1250,SummonEnemy,enemy_gom_00502_colorless,,4,2000,None,,None,,None,,None,,,,,Default,Normal,125,0,3,2,1,,None,,1
e,gom_hard_01,gom_hard_01,,3,,ElapsedTime,12500,SummonEnemy,enemy_gom_00502_colorless,,99,2000,None,,None,,None,,None,,,,,Default,Normal,125,0,2.5,1.5,1,,None,,1
e,gom_hard_02,gom_hard_02,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00402_colorless,,5,2000,None,,None,,None,,None,,,,,Default,Normal,125,0,3,1,1,,None,,1
e,gom_hard_02,gom_hard_02,,2,,ElapsedTime,1000,SummonEnemy,enemy_gom_00401_red,,2,2500,None,,None,,None,,None,,,,,Default,Normal,125,0,4,2,1,,None,,1
e,gom_hard_03,gom_hard_03,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00501_colorless,,1,1500,None,,None,,None,,None,,,,,Default,Normal,,0,3,1,1,,None,,1
e,gom_hard_03,gom_hard_03,,2,,ElapsedTime,1500,SummonEnemy,enemy_gom_00502_colorless,,1,1750,None,,None,,None,,None,,,,,Default,Normal,,0,4,1,1,,None,,1
e,gom_hard_03,gom_hard_03,,3,,ElapsedTime,2000,SummonEnemy,enemy_gom_00502_colorless,,1,500,None,,None,,None,,None,,,,,Default,Normal,,0,4,1,1,,None,,1
e,gom_hard_03,gom_hard_03,,4,,ElapsedTime,2500,SummonEnemy,enemy_gom_00501_colorless,,1,500,None,,None,,None,,None,,,,,Default,Normal,,0,3,1,1,,None,,1
e,gom_hard_03,gom_hard_03,,5,,ElapsedTime,3000,SummonEnemy,enemy_gom_00501_colorless,,1,500,None,,None,,None,,None,,,,,Default,Normal,,0,3,1,1,,None,,1
e,gom_hard_03,gom_hard_03,,6,,ElapsedTime,3500,SummonEnemy,enemy_gom_00501_colorless,,1,500,None,,None,,None,,None,,,,,Default,Normal,,0,3,1,1,,None,,1
e,gom_hard_04,gom_hard_04,,1,,ElapsedTime,500,SummonEnemy,enemy_gom_00601_colorless,,1,500,None,,None,,None,,None,,,,,Default,Normal,125,0,2.5,1.5,1,,None,,1
e,gom_hard_04,gom_hard_04,,4,,ElapsedTime,1500,SummonEnemy,enemy_gom_00631_colorless,,1,500,None,,None,,None,,None,,,,,Default,Normal,200,0,2.5,1.2,1,,None,,1
e,gom_hard_04,gom_hard_04,,5,,ElapsedTime,2500,SummonEnemy,enemy_gom_00001_boss_colorless,,1,0,None,,None,,None,,None,,,,1,Default,Normal,250,0,8,1,1,,None,,1
e,gom_hard_05,gom_hard_05,,1,,ElapsedTime,250,SummonEnemy,enemy_gom_00701_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,125,0,4,1.5,1,,None,,1
e,gom_hard_05,gom_hard_05,,2,,ElapsedTime,1250,SummonEnemy,enemy_gom_00801_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,200,0,3,1.5,1,,None,,1
e,gom_hard_05,gom_hard_05,,3,,ElapsedTime,1750,SummonEnemy,enemy_gom_00901_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,125,0,3,2,1,,None,,1
e,gom_hard_05,gom_hard_05,,4,,ElapsedTime,2500,SummonEnemy,enemy_gom_00701_boss_red,,1,0,None,,None,,None,,None,,,,1,Default,Normal,150,0,5,2,1,,None,,1
e,gom_hard_06,gom_hard_06,,1,,ElapsedTime,750,SummonEnemy,enemy_gom_00401_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,125,0,2,3,1,,None,,1
e,gom_hard_06,gom_hard_06,,2,,ElapsedTime,0,SummonEnemy,enemy_gom_00501_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,150,0,4.5,1,1,,None,,1
e,gom_hard_06,gom_hard_06,,3,,ElapsedTime,350,SummonEnemy,enemy_gom_00502_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,125,0,2,1,1,,None,,1
e,gom_hard_06,gom_hard_06,,4,,ElapsedTime,2250,SummonEnemy,enemy_gom_00701_colorless,,2,2000,None,,None,,None,,None,,,,,Default,Normal,125,0,2,1,1,,None,,1
e,gom_hard_06,gom_hard_06,,5,,ElapsedTime,2750,SummonEnemy,enemy_gom_00601_colorless,,99,2500,None,,None,,None,,None,,,,,Default,Normal,125,0,2.5,3,1,,None,,1
e,gom_hard_06,gom_hard_06,,6,,ElapsedTime,3250,SummonEnemy,enemy_gom_00611_colorless,,99,2500,None,,None,,None,,None,,,,,Default,Normal,125,0,2.5,3,1,,None,,1
e,gom_hard_06,gom_hard_06,,7,,OutpostDamage,1500,SummonEnemy,enemy_gom_00201_boss_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,150,0,3,1.5,1,,None,,1
e,gom_hard_06,gom_hard_06,,8,,OutpostDamage,1500,SummonEnemy,enemy_gom_00301_colorless,,2,1500,None,,None,,None,,None,,,,,Default,Normal,150,0,3,1,1,,None,,1
e,gom_hard_06,gom_hard_06,,9,,OutpostDamage,3000,SummonEnemy,enemy_gom_00001_boss_red,,1,0,None,,None,,None,,None,,,,1,Default,Normal,225,0,5,1,1,,None,,1
e,gom_hard_06,gom_hard_06,,10,,OutpostDamage,3000,SummonEnemy,enemy_gom_00621_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,125,0,2.5,1.5,1,,None,,1
e,gom_hard_06,gom_hard_06,,11,,OutpostDamage,3000,SummonEnemy,enemy_gom_00631_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,125,0,2.5,1.5,1,,None,,1
e,aka_normal_01,aka_normal_01,,1,,ElapsedTime,250,SummonEnemy,enemy_aka_00001_colorless,,30,1750,None,,None,,None,,None,,,,,Default,Normal,,0,3,2.1,1,,None,,1
e,aka_normal_01,aka_normal_01,,2,,ElapsedTime,2000,SummonEnemy,enemy_aka_00002_boss_colorless,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,7.5,1.35,1,,None,,1
e,aka_normal_02,aka_normal_02,,1,,ElapsedTime,200,SummonEnemy,enemy_aka_00001_colorless,,30,1750,None,,None,,None,,None,,,,,Default,Normal,,0,3,2.1,1,,None,,1
e,aka_normal_02,aka_normal_02,,2,,ElapsedTime,500,SummonEnemy,enemy_aka_00003_boss_colorless,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,4,2,1,,None,,1
e,aka_normal_03,aka_normal_03,,1,,ElapsedTime,250,SummonEnemy,enemy_aka_00001_colorless,,99,1750,None,,None,,None,,None,,,,,Default,Normal,,0,2,2.5,1,,None,,1
e,aka_normal_03,aka_normal_03,,2,,ElapsedTime,3000,SummonEnemy,enemy_aka_00002_boss_colorless,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,6,1.5,1,,None,,1
e,aka_normal_03,aka_normal_03,,3,,ElapsedTime,750,SummonEnemy,enemy_aka_00003_boss_colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,,0,3,2,1,,None,,1
e,aka_hard_01,aka_hard_01,,1,,ElapsedTime,200,SummonEnemy,enemy_aka_00001_colorless,,30,1000,None,,None,,None,,None,,,,,Default,Normal,125,0,3,5,1,,None,,1
e,aka_hard_01,aka_hard_01,,2,,ElapsedTime,2000,SummonEnemy,enemy_aka_00002_boss_red,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,1,1.5,1,,None,,1
e,aka_hard_02,aka_hard_02,,1,,ElapsedTime,200,SummonEnemy,enemy_aka_00001_colorless,,30,1250,None,,None,,None,,None,,,,,Default,Normal,125,0,3,5,1,,None,,1
e,aka_hard_02,aka_hard_02,,2,,OutpostDamage,500,SummonEnemy,enemy_aka_00003_boss_red,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,1.25,2,1,,None,,1
e,aka_hard_03,aka_hard_03,,1,,ElapsedTime,250,SummonEnemy,enemy_aka_00001_colorless,,99,1000,None,,None,,None,,None,,,,,Default,Normal,125,0,3,5,1,,None,,1
e,aka_hard_03,aka_hard_03,,2,,OutpostDamage,2000,SummonEnemy,enemy_aka_00002_boss_red,,1,0,None,,None,,None,,None,,,,1,Default,Normal,,0,1,1.5,1,,None,,1
