ENABLE,id,mst_quest_id,mst_unit_id,release_key
e,quest_event_kim1_1day02,quest_event_kim1_1day,chara_kim_00201,202602020
e,quest_event_kim1_charaget0101,quest_event_kim1_charaget01,chara_kim_00101,202602020
e,quest_event_kim1_charaget0102,quest_event_kim1_charaget01,chara_kim_00201,202602020
e,quest_event_kim1_charaget0103,quest_event_kim1_charaget01,chara_kim_00301,202602020
e,quest_event_kim1_charaget0201,quest_event_kim1_charaget02,chara_kim_00001,202602020
e,quest_event_kim1_challenge01,quest_event_kim1_challenge,chara_kim_00001,202602020
e,quest_event_kim1_challenge02,quest_event_kim1_challenge,chara_kim_00101,202602020
e,quest_event_hut1_1day01,quest_event_hut1_1day,chara_hut_00001,202603010
e,quest_event_hut1_charaget0101,quest_event_hut1_charaget01,chara_hut_00001,202603010
e,quest_event_hut1_charaget0201,quest_event_hut1_charaget02,chara_hut_00101,202603010
e,quest_event_hut1_charaget0202,quest_event_hut1_charaget02,chara_hut_00001,202603010
e,quest_event_hut1_challenge01,quest_event_hut1_challenge,chara_hut_00001,202603010
e,quest_event_hut1_challenge02,quest_event_hut1_challenge,chara_hut_00101,202603010
e,quest_event_hut1_challenge03,quest_event_hut1_challenge,chara_hut_00201,202603010
e,quest_event_hut1_savage01,quest_event_hut1_savage,chara_hut_00301,202603010
e,quest_event_f05anniv_charaget0101,quest_event_f05anniv_charaget01,chara_ara_00001,202603020
e,quest_event_f05anniv_1day01,quest_event_f05anniv_1day,chara_gam_00001,202603020
e,quest_event_f05anniv_charaget0201,quest_event_f05anniv_charaget02,chara_hyp_00001,202603020
e,quest_event_f05anniv_challenge01,quest_event_f05anniv_challenge,chara_gam_00001,202603020
e,quest_event_f05anniv_savage01,quest_event_f05anniv_savage,chara_sur_00901,202603020
e,quest_event_l05anniv_1day01,quest_event_l05anniv_1day,chara_gom_00701,202603025
e,quest_event_l05anniv_charaget0101,quest_event_l05anniv_charaget01,chara_osh_00701,202603025
e,quest_event_l05anniv_challenge0101,quest_event_l05anniv_challenge01,chara_gom_00101,202603025
e,quest_event_aya1_1day01,quest_event_aya1_1day,chara_aya_00001,202604010
