ENABLE,id,mst_artwork_id,language,grade_level1_effect_text,grade_level2_effect_text,grade_level3_effect_text,grade_level4_effect_text,grade_level5_effect_text,release_key
e,artwork_kai_0002,artwork_kai_0002,ja,バトル中永続で、ランダムに味方3体の体力を0.37%UP,バトル中永続で、ランダムに味方3体の体力を0.73%UP,バトル中永続で、ランダムに味方3体の体力を1.10%UP,バトル中永続で、ランダムに味方3体の体力を1.47%UP,バトル中永続で、ランダムに味方3体の体力を1.83%UP,202603020
e,artwork_kai_0003,artwork_kai_0003,ja,バトル開始時、『怪獣８号』作品キャラを1体以上編成している場合、リーダーPを20増加する,バトル開始時、『怪獣８号』作品キャラを1体以上編成している場合、リーダーPを25増加する,バトル開始時、『怪獣８号』作品キャラを1体以上編成している場合、リーダーPを30増加する,バトル開始時、『怪獣８号』作品キャラを1体以上編成している場合、リーダーPを40増加する,バトル開始時、『怪獣８号』作品キャラを1体以上編成している場合、リーダーPを50増加する,202603020
e,artwork_sur_0001,artwork_sur_0001,ja,バトル中永続で、ランダムに味方1体の攻撃を0.28%UP,バトル中永続で、ランダムに味方1体の攻撃を0.55%UP,バトル中永続で、ランダムに味方1体の攻撃を0.83%UP,バトル中永続で、ランダムに味方1体の攻撃を1.10%UP,バトル中永続で、ランダムに味方1体の攻撃を1.65%UP,202603020
e,artwork_sur_0002,artwork_sur_0002,ja,バトル開始時、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、リーダーPを10P増加する,バトル開始時、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、リーダーPを15P増加する,バトル開始時、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、リーダーPを20P増加する,バトル開始時、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、リーダーPを25P増加する,バトル開始時、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、リーダーPを30P増加する,202603020
e,artwork_sur_0003,artwork_sur_0003,ja,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.33%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.50%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.66%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.83%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を2%UP,202603020
e,artwork_rik_0001,artwork_rik_0001,ja,バトル中永続で、ランダムに味方1体の体力を0.28%UP,バトル中永続で、ランダムに味方1体の体力を0.55%UP,バトル中永続で、ランダムに味方1体の体力を0.83%UP,バトル中永続で、ランダムに味方1体の体力を1.10%UP,バトル中永続で、ランダムに味方1体の体力を1.65%UP,202603020
e,artwork_rik_0002,artwork_rik_0002,ja,バトル中永続で、ランダムに味方3体の体力を0.37%UP,バトル中永続で、ランダムに味方3体の体力を0.73%UP,バトル中永続で、ランダムに味方3体の体力を1.10%UP,バトル中永続で、ランダムに味方3体の体力を1.47%UP,バトル中永続で、ランダムに味方3体の体力を1.83%UP,202603020
e,artwork_rik_0003,artwork_rik_0003,ja,バトル中永続で、『トマトイプーのリコピン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.41%UP,バトル中永続で、『トマトイプーのリコピン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.59%UP,バトル中永続で、『トマトイプーのリコピン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.77%UP,バトル中永続で、『トマトイプーのリコピン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を1.94%UP,バトル中永続で、『トマトイプーのリコピン』作品キャラを1体以上編成している場合、ランダムに味方3体の攻撃を2.12%UP,202603020
e,artwork_mag_0001,artwork_mag_0001,ja,バトル開始時、『株式会社マジルミエ』作品キャラを1体以上編成している場合、リーダーPを5増加する,バトル開始時、『株式会社マジルミエ』作品キャラを1体以上編成している場合、リーダーPを7増加する,バトル開始時、『株式会社マジルミエ』作品キャラを1体以上編成している場合、リーダーPを10増加する,バトル開始時、『株式会社マジルミエ』作品キャラを1体以上編成している場合、リーダーPを15増加する,バトル開始時、『株式会社マジルミエ』作品キャラを1体以上編成している場合、リーダーPを20増加する,202603020
e,artwork_mag_0002,artwork_mag_0002,ja,バトル中永続で、ランダムに味方3体の体力を0.37%UP,バトル中永続で、ランダムに味方3体の体力を0.73%UP,バトル中永続で、ランダムに味方3体の体力を1.10%UP,バトル中永続で、ランダムに味方3体の体力を1.47%UP,バトル中永続で、ランダムに味方3体の体力を1.83%UP,202603020
e,artwork_mag_0003,artwork_mag_0003,ja,"バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を0.60秒短縮","バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を1秒短縮","バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を1.50秒短縮","バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を1.70秒短縮","バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、JUMBLE RUSH発動までの時間を2秒短縮",202603020
e,artwork_sum_0001,artwork_sum_0001,ja,バトル中永続で、ランダムに味方1体の攻撃を0.28%UP,バトル中永続で、ランダムに味方1体の攻撃を0.55%UP,バトル中永続で、ランダムに味方1体の攻撃を0.83%UP,バトル中永続で、ランダムに味方1体の攻撃を1.10%UP,バトル中永続で、ランダムに味方1体の攻撃を1.65%UP,202603020
e,artwork_sum_0002,artwork_sum_0002,ja,バトル中永続で、ランダムに味方3体の体力を0.37%UP,バトル中永続で、ランダムに味方3体の体力を0.73%UP,バトル中永続で、ランダムに味方3体の体力を1.10%UP,バトル中永続で、ランダムに味方3体の体力を1.47%UP,バトル中永続で、ランダムに味方3体の体力を1.83%UP,202603020
e,artwork_sum_0003,artwork_sum_0003,ja,バトル中永続で、『サマータイムレンダ』作品キャラを1体以上編成している場合、ランダムに味方1体の必殺ワザ再発動時間を1秒短縮,バトル中永続で、『サマータイムレンダ』作品キャラを1体以上編成している場合、ランダムに味方1体の必殺ワザ再発動時間を1.20秒短縮,バトル中永続で、『サマータイムレンダ』作品キャラを1体以上編成している場合、ランダムに味方1体の必殺ワザ再発動時間を1.40秒短縮,バトル中永続で、『サマータイムレンダ』作品キャラを1体以上編成している場合、ランダムに味方1体の必殺ワザ再発動時間を1.60秒短縮,バトル中永続で、『サマータイムレンダ』作品キャラを1体以上編成している場合、ランダムに味方1体の必殺ワザ再発動時間を2秒短縮,202603020
e,artwork_osh_0001,artwork_osh_0001,ja,バトル中永続で、ランダムに味方1体の攻撃を0.28%UP,バトル中永続で、ランダムに味方1体の攻撃を0.55%UP,バトル中永続で、ランダムに味方1体の攻撃を0.83%UP,バトル中永続で、ランダムに味方1体の攻撃を1.10%UP,バトル中永続で、ランダムに味方1体の攻撃を1.65%UP,202603020
e,artwork_osh_0002,artwork_osh_0002,ja,バトル開始時、『【推しの子】』作品キャラを1体以上編成している場合、リーダーPを10増加する,バトル開始時、『【推しの子】』作品キャラを1体以上編成している場合、リーダーPを15増加する,バトル開始時、『【推しの子】』作品キャラを1体以上編成している場合、リーダーPを20増加する,バトル開始時、『【推しの子】』作品キャラを1体以上編成している場合、リーダーPを25増加する,バトル開始時、『【推しの子】』作品キャラを1体以上編成している場合、リーダーPを30増加する,202603020
e,artwork_osh_0003,artwork_osh_0003,ja,バトル中永続で、『【推しの子】』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.33%UP,バトル中永続で、『【推しの子】』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.50%UP,バトル中永続で、『【推しの子】』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.67%UP,バトル中永続で、『【推しの子】』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を1.83%UP,バトル中永続で、『【推しの子】』作品キャラを1体以上編成している場合、ランダムに味方3体の体力を2%UP,202603020
e,artwork_tutorial_0001,artwork_tutorial_0001,ja,バトル開始時、リーダーPを5増加する,バトル開始時、リーダーPを7増加する,バトル開始時、リーダーPを10増加する,バトル開始時、リーダーPを15増加する,バトル開始時、リーダーPを20増加する,202603020
e,artwork_event_kai_0001,artwork_event_kai_0001,ja,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の攻撃を0.58%UP,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の攻撃を0.67%UP,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の攻撃を0.80%UP,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の攻撃を0.93%UP,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の攻撃を1.02%UP,202603020
e,artwork_event_kai_0002,artwork_event_kai_0002,ja,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の体力を1.16%UP,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の体力を1.34%UP,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の体力を1.60%UP,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の体力を1.87%UP,バトル中永続で、『怪獣８号』作品キャラを1体以上編成している場合、『怪獣８号』作品の味方最大10体の体力を2.05%UP,202603020
e,artwork_event_spy_0001,artwork_event_spy_0001,ja,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の攻撃を0.58%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の攻撃を0.67%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の攻撃を0.80%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の攻撃を0.93%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の攻撃を1.02%UP,202603020
e,artwork_event_spy_0002,artwork_event_spy_0002,ja,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の体力を1.16%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の体力を1.34%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の体力を1.60%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の体力を1.87%UP,バトル中永続で、『SPY×FAMILY』作品キャラを1体以上編成している場合、『SPY×FAMILY』作品の味方最大10体の体力を2.05%UP,202603020
e,artwork_event_dan_0001,artwork_event_dan_0001,ja,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の体力を1.16%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の体力を1.34%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の体力を1.60%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の体力を1.87%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の体力を2.05%UP,202603020
e,artwork_event_dan_0002,artwork_event_dan_0002,ja,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の攻撃を0.58%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の攻撃を0.67%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の攻撃を0.80%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の攻撃を0.93%UP,バトル中永続で、『ダンダダン』作品キャラを1体以上編成している場合、『ダンダダン』作品の味方最大10体の攻撃を1.02%UP,202603020
e,artwork_event_mag_0001,artwork_event_mag_0001,ja,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の体力を1.16%UP,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の体力を1.34%UP,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の体力を1.60%UP,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の体力を1.87%UP,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の体力を2.05%UP,202603020
e,artwork_event_mag_0002,artwork_event_mag_0002,ja,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の攻撃を0.58%UP,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の攻撃を0.67%UP,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の攻撃を0.80%UP,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の攻撃を0.93%UP,バトル中永続で、『株式会社マジルミエ』作品キャラを1体以上編成している場合、『株式会社マジルミエ』作品の味方最大10体の攻撃を1.02%UP,202603020
e,artwork_event_yuw_0001,artwork_event_yuw_0001,ja,バトル中永続で、『2.5次元の誘惑』作品キャラを1体以上編成している場合、『2.5次元の誘惑』作品の味方最大10体の攻撃を0.58%UP,バトル中永続で、『2.5次元の誘惑』作品キャラを1体以上編成している場合、『2.5次元の誘惑』作品の味方最大10体の攻撃を0.67%UP,バトル中永続で、『2.5次元の誘惑』作品キャラを1体以上編成している場合、『2.5次元の誘惑』作品の味方最大10体の攻撃を0.80%UP,バトル中永続で、『2.5次元の誘惑』作品キャラを1体以上編成している場合、『2.5次元の誘惑』作品の味方最大10体の攻撃を0.93%UP,バトル中永続で、『2.5次元の誘惑』作品キャラを1体以上編成している場合、『2.5次元の誘惑』作品の味方最大10体の攻撃を1.02%UP,202603020
e,artwork_event_yuw_0002,artwork_event_yuw_0002,ja,バトル開始時、『2.5次元の誘惑』作品キャラを1体以上編成している場合、リーダーPを20増加する,バトル開始時、『2.5次元の誘惑』作品キャラを1体以上編成している場合、リーダーPを25増加する,バトル開始時、『2.5次元の誘惑』作品キャラを1体以上編成している場合、リーダーPを30増加する,バトル開始時、『2.5次元の誘惑』作品キャラを1体以上編成している場合、リーダーPを40増加する,バトル開始時、『2.5次元の誘惑』作品キャラを1体以上編成している場合、リーダーPを50増加する,202603020
e,artwork_event_sur_0001,artwork_event_sur_0001,ja,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の攻撃を0.58%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の攻撃を0.67%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の攻撃を0.80%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の攻撃を0.93%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の攻撃を1.02%UP,202603020
e,artwork_event_sur_0002,artwork_event_sur_0002,ja,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の体力を1.16%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の体力を1.34%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の体力を1.60%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の体力を1.87%UP,バトル中永続で、『魔都精兵のスレイブ』作品キャラを1体以上編成している場合、『魔都精兵のスレイブ』作品の味方最大10体の体力を2.05%UP,202603020
