ENABLE,release_key,id,opr_campaign_id,language,description
e,1,Campaign1_38_ja,Campaign1_38,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_39_ja,Campaign1_39,ja,"消費量  <color=#C81919><size=22>1/2</size></color>"
e,1,Campaign1_40_ja,Campaign1_40,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_41_ja,Campaign1_41,ja,"消費量  <color=#C81919><size=22>1/2</size></color>"
e,1,Campaign1_42_ja,Campaign1_42,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_43_ja,Campaign1_43,ja,"消費量  <color=#C81919><size=22>1/2</size></color>"
e,1,Campaign1_44_ja,Campaign1_44,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_45_ja,Campaign1_45,ja,"消費量  <color=#C81919><size=22>1/2</size></color>"
e,1,Campaign1_46_ja,Campaign1_46,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_47_ja,Campaign1_47,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_48_ja,Campaign1_48,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_49_ja,Campaign1_49,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_50_ja,Campaign1_50,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_51_ja,Campaign1_51,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_52_ja,Campaign1_52,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_53_ja,Campaign1_53,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_54_ja,Campaign1_54,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_55_ja,Campaign1_55,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_56_ja,Campaign1_56,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_57_ja,Campaign1_57,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_58_ja,Campaign1_58,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_59_ja,Campaign1_59,ja,"消費量  <color=#C81919><size=22>1/2</size></color>"
e,1,Campaign1_60_ja,Campaign1_60,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_61_ja,Campaign1_61,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_62_ja,Campaign1_62,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_63_ja,Campaign1_63,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_64_ja,Campaign1_64,ja,"消費量  <color=#C81919><size=22>1/2</size></color>"
e,1,Campaign1_65_ja,Campaign1_65,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_66_ja,Campaign1_66,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_67_ja,Campaign1_67,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_68_ja,Campaign1_68,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
