ENABLE,release_key,id,mst_item_id,language,name,description
e,1,piece_glo_00016_ja,piece_glo_00016,ja,スペネコエステのかけら,スペネコエステの覚醒に使用するアイテム
e,1,piece_glo_00017_ja,piece_glo_00017,ja,スペネコトカゲのかけら,スペネコトカゲの覚醒に使用するアイテム
e,1,piece_glo_00018_ja,piece_glo_00018,ja,スペネコアーチャーのかけら,スペネコアーチャーの覚醒に使用するアイテム
e,1,piece_glo_00019_ja,piece_glo_00019,ja,スペネコネコのかけら,スペネコネコの覚醒に使用するアイテム
e,1,piece_glo_00020_ja,piece_glo_00020,ja,スペネコンゴのかけら,スペネコンゴの覚醒に使用するアイテム
e,1,piece_glo_00021_ja,piece_glo_00021,ja,スペネコであったもののかけら,スペネコであったものの覚醒に使用するアイテム
e,1,unit_memory_glo_00140_ja,unit_memory_glo_00140,ja,個別限界突破素材glo_00140,glo_00140の限界突破に使用するアイテム
e,1,memory_fragment_r_glo_00001_ja,memory_fragment_r_glo_00001,ja,メモリーフラグメントR(無属性),無属性ヒーローの限界突破に使用するアイテム
e,1,memory_fragment_sr_glo_00001_ja,memory_fragment_sr_glo_00001,ja,メモリーフラグメントSR(無属性),無属性ヒーローの限界突破に使用するアイテム
e,1,memory_fragment_ssr_glo_00001_ja,memory_fragment_ssr_glo_00001,ja,メモリーフラグメントSSR(無属性),無属性ヒーローの限界突破に使用するアイテム
e,1,item_icon_piece_dan_00001_ja,item_icon_piece_dan_00001,ja,オカルンのかけら,オカルンのグレードアップに使用するアイテム
e,1,item_icon_piece_dan_00002_ja,item_icon_piece_dan_00002,ja,"ターボババアの霊力 オカルンのかけら","ターボババアの霊力 オカルンのグレードアップに使用するアイテム"
e,1,item_icon_piece_dan_00101_ja,item_icon_piece_dan_00101,ja,トーチャー・トルチュールのかけら,トーチャー・トルチュールのグレードアップに使用するアイテム
e,1,item_icon_piece_gom_00001_ja,item_icon_piece_gom_00001,ja,クロルのかけら,クロルのグレードアップに使用するアイテム
e,1,item_icon_piece_gom_00101_ja,item_icon_piece_gom_00101,ja,がらんの画眉丸のかけら,がらんの画眉丸のグレードアップに使用するアイテム
e,1,item_icon_piece_gom_00201_ja,item_icon_piece_gom_00201,ja,杠のかけら,杠のグレードアップに使用するアイテム
e,1,item_icon_piece_jig_00001_ja,item_icon_piece_jig_00001,ja,"山田浅ェ門 仙汰のかけら","山田浅ェ門 仙汰のグレードアップに使用するアイテム"
e,1,item_icon_piece_jig_00101_ja,item_icon_piece_jig_00101,ja,綾瀬桃のかけら,綾瀬桃のグレードアップに使用するアイテム
e,1,item_icon_piece_jig_00201_ja,item_icon_piece_jig_00201,ja,姫（奴隷服）のかけら,姫（奴隷服）のグレードアップに使用するアイテム
e,1,item_icon_piece_jig_00301_ja,item_icon_piece_jig_00301,ja,"山田浅ェ門 佐切のかけら","山田浅ェ門 佐切のかけらのグレードアップに使用するアイテム"
e,1,item_icon_piece_sur_00001_ja,item_icon_piece_sur_00001,ja,"和倉 優希のかけら","和倉 優希のグレードアップに使用するアイテム"
e,1,item_icon_gasha_ticket_normal_ja,item_icon_gasha_ticket_normal,ja,ノーマルガシャチケット,ノーマルガシャチケット
e,1,item_icon_gasha_ticket_premium_ja,item_icon_gasha_ticket_premium,ja,プレミアムガシャチケット,プレミアムガシャチケット
e,1,item_icon_gasha_ticket_festival_ja,item_icon_gasha_ticket_festival,ja,フェスガシャチケット,フェスガシャチケット
e,1,item_icon_gasha_medal_glo_90000_ja,item_icon_gasha_medal_glo_90000,ja,ガシャメダル,メダルガシャに使うことができるメダル
e,1,memory_glo_00001_ja,memory_glo_00001,ja,カラーメモリー・グレー,無属性ヒーローのLv.上限開放に使用するアイテム
e,1,memory_glo_00002_ja,memory_glo_00002,ja,カラーメモリー・レッド,赤属性ヒーローのLv.上限開放に使用するアイテム
e,1,memory_glo_00003_ja,memory_glo_00003,ja,カラーメモリー・ブルー,青属性ヒーローのLv.上限開放に使用するアイテム
e,1,memory_glo_00004_ja,memory_glo_00004,ja,カラーメモリー・イエロー,黄属性ヒーローのLv.上限開放に使用するアイテム
e,1,memory_glo_00005_ja,memory_glo_00005,ja,カラーメモリー・グリーン,緑属性ヒーローのLv.上限開放に使用するアイテム
e,1,memory_chara_kai_00501_ja,memory_chara_kai_00501,ja,"四ノ宮 功のメモリー",ヒーローのLv.上限開放に使用するアイテム
e,1,memory_chara_kai_00601_ja,memory_chara_kai_00601,ja,"古橋 伊春のメモリー",ヒーローのLv.上限開放に使用するアイテム
e,1,memoryfragment_glo_00001_ja,memoryfragment_glo_00001,ja,メモリーフラグメント・初級,ヒーローのLv.上限開放に使用するアイテム
e,1,memoryfragment_glo_00002_ja,memoryfragment_glo_00002,ja,メモリーフラグメント・中級,ヒーローのLv.上限開放に使用するアイテム
e,1,memoryfragment_glo_00003_ja,memoryfragment_glo_00003,ja,メモリーフラグメント・上級,ヒーローのLv.上限開放に使用するアイテム
e,1,box_glo_00001_ja,box_glo_00001,ja,ランダムRキャラのかけらBOX,Rのキャラのかけらがランダムで獲得できるアイテムBOX
e,1,box_glo_00002_ja,box_glo_00002,ja,ランダムSRキャラのかけらBOX,SRのキャラのかけらがランダムで獲得できるアイテムBOX
e,1,box_glo_00003_ja,box_glo_00003,ja,ランダムSSRキャラのかけらBOX,SSRのキャラのかけらがランダムで獲得できるアイテムBOX
e,1,box_glo_00004_ja,box_glo_00004,ja,ランダムURキャラのかけらBOX,URのキャラのかけらがランダムで獲得できるアイテムBOX
e,1,box_glo_00005_ja,box_glo_00005,ja,選べるRキャラのかけらBOX,Rのキャラのかけらを選択して獲得できるアイテムBOX
e,1,box_glo_00006_ja,box_glo_00006,ja,選べるSRキャラのかけらBOX,SRのキャラのかけらを選択して獲得できるアイテムBOX
e,1,box_glo_00007_ja,box_glo_00007,ja,選べるSSRキャラのかけらBOX,SSRのキャラのかけらを選択して獲得できるアイテムBOX
e,1,box_glo_00008_ja,box_glo_00008,ja,選べるURキャラのかけらBOX,URのキャラのかけらを選択して獲得できるアイテムBOX
e,1,piece_spy_00001_ja,piece_spy_00001,ja,"わくわく アーニャのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_spy_00101_ja,piece_spy_00101,ja,"＜黄昏＞ ロイドのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_spy_00201_ja,piece_spy_00201,ja,"＜いばら姫＞ ヨルのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_spy_00301_ja,piece_spy_00301,ja,ダミアン・デズモンドのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_spy_00401_ja,piece_spy_00401,ja,フランキー・フランクリンのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_spy_00501_ja,piece_spy_00501,ja,ユーリ・ブライアのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_aka_00001_ja,piece_aka_00001,ja,佐々木のかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_aka_00101_ja,piece_aka_00101,ja,文蔵のかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_rik_00001_ja,piece_rik_00001,ja,リコピンのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_rik_00101_ja,piece_rik_00101,ja,"甘戸 めめのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_dan_00001_ja,piece_dan_00001,ja,オカルンのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_dan_00002_ja,piece_dan_00002,ja,"ターボババアの霊力 オカルンのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_dan_00101_ja,piece_dan_00101,ja,モモのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_gom_00001_ja,piece_gom_00001,ja,"囚われの王女 姫様のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_gom_00101_ja,piece_gom_00101,ja,トーチャー・トルチュールのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_gom_00201_ja,piece_gom_00201,ja,クロルのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_chi_00001_ja,piece_chi_00001,ja,デンジのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_chi_00002_ja,piece_chi_00002,ja,"チェンソーの悪魔 チェンソーマンのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_chi_00201_ja,piece_chi_00201,ja,"早川 アキのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_chi_00301_ja,piece_chi_00301,ja,パワーのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_bat_00001_ja,piece_bat_00001,ja,"清峰 葉流火のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_bat_00101_ja,piece_bat_00101,ja,"要 圭のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_kai_00001_ja,piece_kai_00001,ja,"日比野 カフカのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_kai_00002_ja,piece_kai_00002,ja,"歴史に残る大怪獣 怪獣８号のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_kai_00101_ja,piece_kai_00101,ja,"市川 レノのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_kai_00201_ja,piece_kai_00201,ja,"第３部隊隊長 亜白 ミナのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_kai_00301_ja,piece_kai_00301,ja,"四ノ宮 キコルのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_kai_00401_ja,piece_kai_00401,ja,"保科 宗四郎のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_kai_00501_ja,piece_kai_00501,ja,"四ノ宮 功のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_kai_00601_ja,piece_kai_00601,ja,"古橋 伊春のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_yuw_00101_ja,piece_yuw_00101,ja,"天使空挺団 橘 美花莉のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_yuw_00001_ja,piece_yuw_00001,ja,"天使空挺団 天乃 リリサのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_sur_00001_ja,piece_sur_00001,ja,"和倉 優希のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_sur_00101_ja,piece_sur_00101,ja,"魔防隊 七番組組長 羽前 京香のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_sur_00201_ja,piece_sur_00201,ja,"東 日万凛のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_sur_00301_ja,piece_sur_00301,ja,"駿河 朱々のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_sur_00401_ja,piece_sur_00401,ja,"大川村 寧のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_ron_00001_ja,piece_ron_00001,ja,"鴨乃橋 ロンのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_ron_00101_ja,piece_ron_00101,ja,"一色 都々丸のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_aha_00101_ja,piece_aha_00101,ja,"阿波連 れいなのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_aha_00001_ja,piece_aha_00001,ja,ライドウのかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_tak_00001_ja,piece_tak_00001,ja,"ハッピー星からの使者 タコピーのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_jig_00001_ja,piece_jig_00001,ja,がらんの画眉丸のかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_jig_00101_ja,piece_jig_00101,ja,"山田浅ェ門 佐切のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_jig_00201_ja,piece_jig_00201,ja,杠のかけら,ヒーローのグレードアップに使用するアイテム
e,1,piece_jig_00301_ja,piece_jig_00301,ja,"山田浅ェ門 仙汰のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_mag_00001_ja,piece_mag_00001,ja,"新人魔法少女 桜木 カナのかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_mag_00101_ja,piece_mag_00101,ja,"越谷 仁美のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_dos_00001_ja,piece_dos_00001,ja,"冬木 美波のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_dos_00101_ja,piece_dos_00101,ja,"秋野 沙友理のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_sum_00001_ja,piece_sum_00001,ja,"網代 慎平のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_sum_00101_ja,piece_sum_00101,ja,"影のウシオ 小舟 潮のかけら",ヒーローのグレードアップに使用するアイテム
e,1,piece_sum_00201_ja,piece_sum_00201,ja,"小舟 澪のかけら",ヒーローのグレードアップに使用するアイテム
e,1,ticket_glo_00001_ja,ticket_glo_00001,ja,ノーマルガシャチケット,ノーマルガシャを引くことができるアイテム
e,1,ticket_glo_00002_ja,ticket_glo_00002,ja,スペシャルガシャチケット,スペシャルガシャを引くことができるアイテム
e,1,ticket_glo_00003_ja,ticket_glo_00003,ja,ピックアップガシャチケット,ピックアップガシャを引くことができるアイテム
e,1,ticket_glo_00004_ja,ticket_glo_00004,ja,フェスガシャチケット,フェスガシャを引くことができるアイテム
e,1,ticket_glo_00102_ja,ticket_glo_00102,ja,R以上確定ガシャチケット,ノーマルガシャを引くことができるアイテム
e,1,ticket_glo_00104_ja,ticket_glo_00104,ja,SR以上確定ガシャチケット,SR以上確定ガシャを引くことができるアイテム
e,1,ticket_glo_00105_ja,ticket_glo_00105,ja,SSR以上確定ガシャチケット,SSR以上確定ガシャを引くことができるアイテム
e,1,ticket_glo_00202_ja,ticket_glo_00202,ja,UR確定ガシャチケット,UR以上確定ガシャを引くことができるアイテム
e,1,ticket_glo_00203_ja,ticket_glo_00203,ja,UR1体確定10連ガシャチケット,UR1体確定10連ガシャを引くことができるアイテム
e,1,ticket_glo_00204_ja,ticket_glo_00204,ja,ピックアップUR1体確定10連ガシャチケット,ピックアップUR1体確定10連ガシャを引くことができるアイテム
e,1,ticket_glo_00205_ja,ticket_glo_00205,ja,フェス限定URキャラ1体確定10連ガシャチケット,フェス限定URキャラ1体確定10連ガシャを引くことができるアイテム
e,1,ticket_glo_90000_ja,ticket_glo_90000,ja,プレミアムメダル,プレミアムメダルガシャを引くことができるアイテム
e,1,entry_item_glo_00001_ja,entry_item_glo_00001,ja,ランクマッチに挑戦するためのアイテム,
