ENABLE,id,mst_advent_battle_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,quest_raid_jig1_00001_4,quest_raid_jig1_00001,Random,Item,memory_glo_00004,3,20,4,202601010
e,quest_raid_jig1_00001_5,quest_raid_jig1_00001,Random,Item,memory_glo_00005,3,20,5,202601010
e,quest_raid_you1_00001_1,quest_raid_you1_00001,Random,Item,memory_glo_00001,3,20,1,202602015
e,quest_raid_you1_00001_2,quest_raid_you1_00001,Random,Item,memory_glo_00002,3,20,2,202602015
e,quest_raid_you1_00001_3,quest_raid_you1_00001,Random,Item,memory_glo_00003,3,20,3,202602015
e,quest_raid_you1_00001_4,quest_raid_you1_00001,Random,Item,memory_glo_00004,3,20,4,202602015
e,quest_raid_you1_00001_5,quest_raid_you1_00001,Random,Item,memory_glo_00005,3,20,5,202602015
e,quest_raid_kim1_00001_1,quest_raid_kim1_00001,Random,Item,memory_glo_00001,3,20,1,202602020
e,quest_raid_kim1_00001_2,quest_raid_kim1_00001,Random,Item,memory_glo_00002,3,20,2,202602020
e,quest_raid_kim1_00001_3,quest_raid_kim1_00001,Random,Item,memory_glo_00003,3,20,3,202602020
e,quest_raid_kim1_00001_4,quest_raid_kim1_00001,Random,Item,memory_glo_00004,3,20,4,202602020
e,quest_raid_kim1_00001_5,quest_raid_kim1_00001,Random,Item,memory_glo_00005,3,20,5,202602020
e,quest_raid_hut1_00001_1,quest_raid_hut1_00001,Random,Item,memory_glo_00001,3,20,1,202603010
e,quest_raid_hut1_00001_2,quest_raid_hut1_00001,Random,Item,memory_glo_00002,3,20,2,202603010
e,quest_raid_hut1_00001_3,quest_raid_hut1_00001,Random,Item,memory_glo_00003,3,20,3,202603010
e,quest_raid_hut1_00001_4,quest_raid_hut1_00001,Random,Item,memory_glo_00004,3,20,4,202603010
e,quest_raid_hut1_00001_5,quest_raid_hut1_00001,Random,Item,memory_glo_00005,3,20,5,202603010
e,quest_raid_glo2_00001_1,quest_raid_glo2_00001,Random,Item,memory_glo_00001,3,20,1,202603020
e,quest_raid_glo2_00001_2,quest_raid_glo2_00001,Random,Item,memory_glo_00002,3,20,2,202603020
e,quest_raid_glo2_00001_3,quest_raid_glo2_00001,Random,Item,memory_glo_00003,3,20,3,202603020
e,quest_raid_glo2_00001_4,quest_raid_glo2_00001,Random,Item,memory_glo_00004,3,20,4,202603020
e,quest_raid_glo2_00001_5,quest_raid_glo2_00001,Random,Item,memory_glo_00005,3,20,5,202603020
e,quest_raid_l05anniv_00001_1,quest_raid_l05anniv_00001,Random,Item,memory_glo_00001,3,20,1,202603025
e,quest_raid_l05anniv_00001_2,quest_raid_l05anniv_00001,Random,Item,memory_glo_00002,3,20,2,202603025
e,quest_raid_l05anniv_00001_3,quest_raid_l05anniv_00001,Random,Item,memory_glo_00003,3,20,3,202603025
e,quest_raid_l05anniv_00001_4,quest_raid_l05anniv_00001,Random,Item,memory_glo_00004,3,20,4,202603025
e,quest_raid_l05anniv_00001_5,quest_raid_l05anniv_00001,Random,Item,memory_glo_00005,3,20,5,202603025
